Removed Pin From Net: NetName=GND Pin=C7-1
Removed Pin From Net: NetName=+3V3 Pin=C10-1
Removed Pin From Net: NetName=GND Pin=C10-2
Removed Pin From Net: NetName=+3V3 Pin=C11-1
Removed Pin From Net: NetName=GND Pin=C11-2
Removed Pin From Net: NetName=+3V3 Pin=C12-1
Removed Pin From Net: NetName=GND Pin=C12-2
Removed Pin From Net: NetName=+3V3 Pin=C13-1
Removed Pin From Net: NetName=GND Pin=C13-2
Removed Pin From Net: NetName=+3V3 Pin=C14-1
Removed Pin From Net: NetName=GND Pin=C14-2
Removed Pin From Net: NetName=+3V3 Pin=C15-1
Removed Pin From Net: NetName=GND Pin=C15-2
Removed Pin From Net: NetName=NetC9_2 Pin=U3-73
Removed Member From Class: ClassName=5V5_Supply Member=R67
Removed Member From Class: ClassName=5V_Supply Member=R78
Removed Member From Class: ClassName=12V_Supply Member=R78
Change Component Footprint: Designator=C12 Old Footprint=CAPC0603X040 New Footprint=CAPC0402X020
Change Component Footprint: Designator=C13 Old Footprint=CAPC0603X040 New Footprint=CAPC0402X020
Change Component Footprint: Designator=C14 Old Footprint=CAPC0603X040 New Footprint=CAPC0402X020
Change Component Footprint: Designator=C15 Old Footprint=CAPC0603X040 New Footprint=CAPC0402X020
Change Component Footprint: Designator=C11 Old Footprint=CAPC0603X040 New Footprint=CAPC0805X060
Change Component Comment : Designator=C9 Old Comment=CAPC0805 New Comment=CL21A225KBFNNNE
Change Component Comment : Designator=C12 Old Comment=CL10B104KO8NNNC New Comment=CL05B104KB5NNNC
Change Component Comment : Designator=C13 Old Comment=CL10B104KO8NNNC New Comment=CL05B104KB5NNNC
Change Component Comment : Designator=C14 Old Comment=CL10B104KO8NNNC New Comment=CL05B104KB5NNNC
Change Component Comment : Designator=C15 Old Comment=CL10B104KO8NNNC New Comment=CL05B104KB5NNNC
Change Component Comment : Designator=C11 Old Comment=CL10B104KO8NNNC New Comment=CL21A225KBFNNNE
Change Component Designator: OldDesignator=C5 NewDesignator=C7
Change Component Designator: OldDesignator=C6 NewDesignator=C8
Change Component Designator: OldDesignator=C8 NewDesignator=C10
Change Component Designator: OldDesignator=C17 NewDesignator=C19
Change Component Designator: OldDesignator=C18 NewDesignator=C20
Change Component Designator: OldDesignator=C19 NewDesignator=C21
Change Component Designator: OldDesignator=C20 NewDesignator=C22
Change Component Designator: OldDesignator=C21 NewDesignator=C23
Change Component Designator: OldDesignator=C22 NewDesignator=C24
Change Component Designator: OldDesignator=C23 NewDesignator=C25
Change Component Designator: OldDesignator=C24 NewDesignator=C26
Change Component Designator: OldDesignator=C25 NewDesignator=C27
Change Component Designator: OldDesignator=C26 NewDesignator=C28
Change Component Designator: OldDesignator=C27 NewDesignator=C29
Change Component Designator: OldDesignator=C28 NewDesignator=C30
Change Component Designator: OldDesignator=C29 NewDesignator=C31
Change Component Designator: OldDesignator=C30 NewDesignator=C32
Change Component Designator: OldDesignator=C31 NewDesignator=C33
Change Component Designator: OldDesignator=C32 NewDesignator=C34
Change Component Designator: OldDesignator=C33 NewDesignator=C35
Change Component Designator: OldDesignator=C34 NewDesignator=C36
Change Component Designator: OldDesignator=C35 NewDesignator=C37
Change Component Designator: OldDesignator=C36 NewDesignator=C38
Change Component Designator: OldDesignator=C37 NewDesignator=C39
Change Component Designator: OldDesignator=C38 NewDesignator=C40
Change Component Designator: OldDesignator=C39 NewDesignator=C41
Change Component Designator: OldDesignator=C40 NewDesignator=C42
Change Component Designator: OldDesignator=C41 NewDesignator=C43
Change Component Designator: OldDesignator=C42 NewDesignator=C44
Change Component Designator: OldDesignator=C43 NewDesignator=C45
Change Component Designator: OldDesignator=C44 NewDesignator=C46
Change Component Designator: OldDesignator=C45 NewDesignator=C47
Change Component Designator: OldDesignator=C46 NewDesignator=C48
Change Component Designator: OldDesignator=C47 NewDesignator=C49
Change Component Designator: OldDesignator=C48 NewDesignator=C50
Change Component Designator: OldDesignator=C49 NewDesignator=C51
Change Component Designator: OldDesignator=C50 NewDesignator=C52
Change Component Designator: OldDesignator=C51 NewDesignator=C53
Change Component Designator: OldDesignator=C52 NewDesignator=C54
Change Component Designator: OldDesignator=C53 NewDesignator=C55
Change Component Designator: OldDesignator=C54 NewDesignator=C56
Change Component Designator: OldDesignator=C55 NewDesignator=C57
Change Component Designator: OldDesignator=C56 NewDesignator=C58
Change Component Designator: OldDesignator=C57 NewDesignator=C59
Change Component Designator: OldDesignator=C58 NewDesignator=C60
Change Component Designator: OldDesignator=C59 NewDesignator=C61
Change Component Designator: OldDesignator=C60 NewDesignator=C62
Change Component Designator: OldDesignator=C61 NewDesignator=C63
Change Component Designator: OldDesignator=C62 NewDesignator=C64
Change Component Designator: OldDesignator=C63 NewDesignator=C65
Change Component Designator: OldDesignator=C64 NewDesignator=C66
Change Component Designator: OldDesignator=C65 NewDesignator=C67
Change Component Designator: OldDesignator=C66 NewDesignator=C68
Change Component Designator: OldDesignator=C67 NewDesignator=C69
Change Component Designator: OldDesignator=C68 NewDesignator=C70
Change Component Designator: OldDesignator=C69 NewDesignator=C71
Change Component Designator: OldDesignator=C70 NewDesignator=C72
Change Component Designator: OldDesignator=C71 NewDesignator=C73
Change Component Designator: OldDesignator=C72 NewDesignator=C74
Change Component Designator: OldDesignator=C73 NewDesignator=C75
Change Component Designator: OldDesignator=C74 NewDesignator=C76
Change Component Designator: OldDesignator=C75 NewDesignator=C77
Change Component Designator: OldDesignator=C76 NewDesignator=C78
Change Component Designator: OldDesignator=C77 NewDesignator=C79
Change Component Designator: OldDesignator=C78 NewDesignator=C80
Change Component Designator: OldDesignator=C79 NewDesignator=C81
Change Component Designator: OldDesignator=C80 NewDesignator=C82
Change Component Designator: OldDesignator=C81 NewDesignator=C83
Change Component Designator: OldDesignator=C82 NewDesignator=C84
Change Component Designator: OldDesignator=C83 NewDesignator=C85
Change Component Designator: OldDesignator=C84 NewDesignator=C86
Change Component Designator: OldDesignator=C85 NewDesignator=C87
Change Component Designator: OldDesignator=C86A NewDesignator=C88A
Change Component Designator: OldDesignator=C86B NewDesignator=C88B
